kecamatan,kelurahan,lintang_selatan,bujur_timur,parameter,hasil_analisa
Cakung, Cakung Barat SMPN 168 ,"06o11’28,6” ","  106o56’32,9”",Zat Padat Terlarut,370
Cakung, Cakung Barat SMPN 169 ,"06o11’28,6” ","  106o56’32,9”",Kekeruhan,0.46
Cakung, Cakung Barat SMPN 170 ,"06o11’28,6” ","  106o56’32,9”",Air Raksa, <0.0003 
Cakung, Cakung Barat SMPN 171 ,"06o11’28,6” ","  106o56’32,9”",Zat Padat Terlarut,
Cakung, Cakung Barat SMPN 172 ,"06o11’28,6” ","  106o56’32,9”",Kekeruhan,
Cakung, Cakung Barat SMPN 173 ,"06o11’28,6” ","  106o56’32,9”",Air Raksa,
Cakung, Cakung Barat SMPN 174 ,"06o11’28,6” ","  106o56’32,9”",Besi (Fe), <0.08 
Cakung, Cakung Barat SMPN 175 ,"06o11’28,6” ","  106o56’32,9”",Fluorida,0.48
Cakung, Cakung Barat SMPN 176 ,"06o11’28,6” ","  106o56’32,9”",Cadmium,
Cakung, Cakung Barat SMPN 177 ,"06o11’28,6” ","  106o56’32,9”",Cadmium, * 
Cakung, Cakung Barat SMPN 178 ,"06o11’28,6” ","  106o56’32,9”",Kesadahan (CaCO3),23.68
Cakung, Cakung Barat SMPN 179 ,"06o11’28,6” ","  106o56’32,9”",Krom Heksavalen,
Cakung, Cakung Barat SMPN 180 ,"06o11’28,6” ","  106o56’32,9”",Krom Heksavalen, * 
Cakung, Cakung Barat SMPN 181 ,"06o11’28,6” ","  106o56’32,9”",Mangan (Mn), <0.05 
Cakung, Cakung Barat SMPN 182 ,"06o11’28,6” ","  106o56’32,9”",Nitrat,
Cakung, Cakung Barat SMPN 183 ,"06o11’28,6” ","  106o56’32,9”",Nitrit,
Cakung, Cakung Barat SMPN 184 ,"06o11’28,6” ","  106o56’32,9”",Nitrat, * 
Cakung, Cakung Barat SMPN 185 ,"06o11’28,6” ","  106o56’32,9”",Nitrit,0.006
Cakung, Cakung Barat SMPN 186 ,"06o11’28,6” ","  106o56’32,9”",pH,8.2
Cakung, Cakung Barat SMPN 187 ,"06o11’28,6” ","  106o56’32,9”",Seng (Zn), <0.01 
Cakung, Cakung Barat SMPN 188 ,"06o10’26,2” ","  106o55’59,6”",Sulfat,
Cakung, Cakung Barat SMPN 189 ,"06o10’26,2” ","  106o55’59,6”",Timah Hitam (Pb),
Cakung, Cakung Barat SMPN 190 ,"06o10’26,2” ","  106o55’59,6”",Sulfat,70.5
Cakung, Cakung Barat SMPN 191 ,"06o10’26,2” ","  106o55’59,6”",Timah Hitam (Pb), * 
Cakung, Cakung Barat SMPN 192 ,"06o10’26,2” ","  106o55’59,6”",Deterjen,0.18
Cakung, Cakung Barat SMPN 193 ,"06o10’26,2” ","  106o55’59,6”",Organik (KMnO4),7.33
Cakung, Cakung Barat SMPN 194 ,"06o10’26,2” ","  106o55’59,6”",Suhu,
Cakung, Cakung Barat SMPN 195 ,"06o10’26,2” ","  106o55’59,6”",Total Coliform,
Cakung, Cakung Barat SMPN 196 ,"06o10’26,2” ","  106o55’59,6”",Suhu,25
Cakung, Cakung Barat SMPN 197 ,"06o10’26,2” ","  106o55’59,6”",Total Coliform,900
Cakung, Cakung Barat SMPN 198 ,"06o10’26,2” ","  106o55’59,6”",E.Coli, -   
Cakung, Cakung Barat SMPN 199 ,"06o10’26,2” ","  106o55’59,6”",Indeks Pencemaran,5
Cakung, Cakung Barat SMPN 200 ,"06o10’26,2” ","  106o55’59,6”",Kategori,Tercemar Sedang 
Cakung, Cakung Timur SMPN 234 ,"06o10’26,2” ","  106o55’59,6”",Zat Padat Terlarut, 2.190.0 
Cakung, Cakung Timur SMPN 235 ,"06o10’26,2” ","  106o55’59,6”",Kekeruhan,0.39
Cakung, Cakung Timur SMPN 236 ,"06o10’26,2” ","  106o55’59,6”",Air Raksa, <0.0003 
Cakung, Cakung Timur SMPN 237 ,"06o10’26,2” ","  106o55’59,6”",Zat Padat Terlarut,
Cakung, Cakung Timur SMPN 238 ,"06o10’26,2” ","  106o55’59,6”",Kekeruhan,
Cakung, Cakung Timur SMPN 239 ,"06o10’26,2” ","  106o55’59,6”",Air Raksa,
Cakung, Cakung Timur SMPN 240 ,"06o10’26,2” ","  106o55’59,6”",Besi (Fe),0.14
Cakung, Cakung Timur SMPN 241 ,"06o11’00,9” ","  106o57’27,9”",Fluorida,0.51
Cakung, Cakung Timur SMPN 242 ,"06o11’00,9” ","  106o57’27,9”",Cadmium,
Cakung, Cakung Timur SMPN 243 ,"06o11’00,9” ","  106o57’27,9”",Cadmium, * 
Cakung, Cakung Timur SMPN 244 ,"06o11’00,9” ","  106o57’27,9”",Kesadahan (CaCO3),107.46
Cakung, Cakung Timur SMPN 245 ,"06o11’00,9” ","  106o57’27,9”",Krom Heksavalen,
Cakung, Cakung Timur SMPN 246 ,"06o11’00,9” ","  106o57’27,9”",Krom Heksavalen, * 
Cakung, Cakung Timur SMPN 247 ,"06o11’00,9” ","  106o57’27,9”",Mangan (Mn),0.1
Cakung, Cakung Timur SMPN 248 ,"06o11’00,9” ","  106o57’27,9”",Nitrat,
Cakung, Cakung Timur SMPN 249 ,"06o11’00,9” ","  106o57’27,9”",Nitrit,
Cakung, Cakung Timur SMPN 250 ,"06o11’00,9” ","  106o57’27,9”",Nitrat,0.88
Cakung, Cakung Timur SMPN 251 ,"06o11’00,9” ","  106o57’27,9”",Nitrit,0.028
Cakung, Cakung Timur SMPN 252 ,"06o11’00,9” ","  106o57’27,9”",pH,8.9
Cakung, Cakung Timur SMPN 253 ,"06o11’00,9” ","  106o57’27,9”",Seng (Zn), <0.01 
Cakung, Cakung Timur SMPN 254 ,"06o11’00,9” ","  106o57’27,9”",Sulfat,
Cakung, Cakung Timur SMPN 255 ,"06o11’00,9” ","  106o57’27,9”",Timah Hitam (Pb),
Cakung, Cakung Timur SMPN 256 ,"06o11’00,9” ","  106o57’27,9”",Sulfat,40.7
Cakung, Cakung Timur SMPN 257 ,"06o11’00,9” ","  106o57’27,9”",Timah Hitam (Pb), * 
Cakung, Cakung Timur SMPN 258 ,"06o11’00,9” ","  106o57’27,9”",Deterjen,0.06
Cakung, Cakung Timur SMPN 259 ,"06o11’00,9” ","  106o57’27,9”",Organik (KMnO4),13.85
Cakung, Cakung Timur SMPN 260 ,"06o11’00,9” ","  106o57’27,9”",Suhu,
Cakung, Cakung Timur SMPN 261 ,"06o10’01,7” ","  106o57’03,6”",Total Coliform,
Cakung, Cakung Timur SMPN 262 ,"06o10’01,7” ","  106o57’03,6”",Suhu,24.9
Cakung, Cakung Timur SMPN 263 ,"06o10’01,7” ","  106o57’03,6”",Total Coliform,100
Cakung, Cakung Timur SMPN 264 ,"06o10’01,7” ","  106o57’03,6”",E.Coli, -   
Cakung, Cakung Timur SMPN 265 ,"06o10’01,7” ","  106o57’03,6”",Indeks Pencemaran,1
Cakung, Cakung Timur SMPN 266 ,"06o10’01,7” ","  106o57’03,6”",Kategori,Tercemar Ringan
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Zat Padat Terlarut, 2.680.0 
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Kekeruhan,4.13
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Air Raksa, <0.0003 
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Zat Padat Terlarut,
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Kekeruhan,
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Air Raksa,
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Besi (Fe),0.16
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Fluorida,0.61
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Cadmium,
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Cadmium, * 
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Kesadahan (CaCO3),78.01
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Krom Heksavalen,
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Krom Heksavalen, * 
Cakung, SMUN 102 Cakung Timur ,"06o10’01,7” ","  106o57’03,6”",Mangan (Mn), <0.05 
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Nitrat,
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Nitrit,
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Nitrat, * 
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Nitrit,0.006
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",pH,7.7
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Seng (Zn), <0.01 
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Sulfat,
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Timah Hitam (Pb),
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Sulfat,296.61
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Timah Hitam (Pb), * 
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Deterjen,0.04
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Organik (KMnO4),14.69
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Suhu,
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Total Coliform,
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Suhu,24.7
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Total Coliform,600
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",E.Coli, -   
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Indeks Pencemaran,4
Cakung, SMUN 102 Cakung Timur ,"06o10’32,9” ","  106o57’04,4”",Kategori,Tercemar Ringan
Cakung, Cakung Timur SMPN 256 ,"06o10’32,9” ","  106o57’04,4”",Zat Padat Terlarut,343
Cakung, Cakung Timur SMPN 257 ,"06o11’50,6” ","  106o54’18,8”",Kekeruhan,7.89
Cakung, Cakung Timur SMPN 258 ,"06o11’50,6” ","  106o54’18,8”",Air Raksa, <0.0003 
Cakung, Cakung Timur SMPN 259 ,"06o11’50,6” ","  106o54’18,8”",Zat Padat Terlarut,
Cakung, Cakung Timur SMPN 260 ,"06o11’50,6” ","  106o54’18,8”",Kekeruhan,
Cakung, Cakung Timur SMPN 261 ,"06o11’50,6” ","  106o54’18,8”",Air Raksa,
Cakung, Cakung Timur SMPN 262 ,"06o11’50,6” ","  106o54’18,8”",Besi (Fe),0.35
Cakung, Cakung Timur SMPN 263 ,"06o11’50,6” ","  106o54’18,8”",Fluorida,0.35
Cakung, Cakung Timur SMPN 264 ,"06o11’50,6” ","  106o54’18,8”",Cadmium,
Cakung, Cakung Timur SMPN 265 ,"06o11’50,6” ","  106o54’18,8”",Cadmium, * 
Cakung, Cakung Timur SMPN 266 ,"06o11’50,6” ","  106o54’18,8”",Kesadahan (CaCO3),92.14
Cakung, Cakung Timur SMPN 267 ,"06o11’50,6” ","  106o54’18,8”",Krom Heksavalen,
Cakung, Cakung Timur SMPN 268 ,"06o11’50,6” ","  106o54’18,8”",Krom Heksavalen, * 
Cakung, Cakung Timur SMPN 269 ,"06o11’50,6” ","  106o54’18,8”",Mangan (Mn), <0.05 
Cakung, Cakung Timur SMPN 270 ,"06o11’50,6” ","  106o54’18,8”",Nitrat,
Cakung, Cakung Timur SMPN 271 ,"06o11’50,6” ","  106o54’18,8”",Nitrit,
Cakung, Cakung Timur SMPN 272 ,"06o11’50,6” ","  106o54’18,8”",Nitrat,0.52
Cakung, Cakung Timur SMPN 273 ,"06o11’50,6” ","  106o54’18,8”",Nitrit,0.006
Cakung, Cakung Timur SMPN 274 ,"06o11’50,6” ","  106o54’18,8”",pH,7.5
Cakung, Cakung Timur SMPN 275 ,"06o11’50,6” ","  106o54’18,8”",Seng (Zn), <0.01 
Cakung, Cakung Timur SMPN 276 ,"06o11’50,6” ","  106o54’18,8”",Sulfat,
Cakung, Cakung Timur SMPN 277 ,"06o11’58,2” ","  106o54’23,5”",Timah Hitam (Pb),
Cakung, Cakung Timur SMPN 278 ,"06o11’58,2” ","  106o54’23,5”",Sulfat,39.55
Cakung, Cakung Timur SMPN 279 ,"06o11’58,2” ","  106o54’23,5”",Timah Hitam (Pb), * 
Cakung, Cakung Timur SMPN 280 ,"06o11’58,2” ","  106o54’23,5”",Deterjen,0.06
Cakung, Cakung Timur SMPN 281 ,"06o11’58,2” ","  106o54’23,5”",Organik (KMnO4),4.53
Cakung, Cakung Timur SMPN 282 ,"06o11’58,2” ","  106o54’23,5”",Suhu,
Cakung, Cakung Timur SMPN 283 ,"06o11’58,2” ","  106o54’23,5”",Total Coliform,
Cakung, Cakung Timur SMPN 284 ,"06o11’58,2” ","  106o54’23,5”",Suhu,24.7
Cakung, Cakung Timur SMPN 285 ,"06o11’58,2” ","  106o54’23,5”",Total Coliform,100
Cakung, Cakung Timur SMPN 286 ,"06o11’58,2” ","  106o54’23,5”",E.Coli, -   
Cakung, Cakung Timur SMPN 287 ,"06o11’58,2” ","  106o54’23,5”",Indeks Pencemaran,1
Cakung, Cakung Timur SMPN 288 ,"06o11’58,2” ","  106o54’23,5”",Kategori,Tercemar Ringan
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Zat Padat Terlarut, 4.280.0 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Kekeruhan,1.91
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Air Raksa, <0.0003 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Zat Padat Terlarut,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Kekeruhan,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Air Raksa,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Besi (Fe), <0.08 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o11’58,2” ","  106o54’23,5”",Fluorida,0.78
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Cadmium,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Cadmium, * 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Kesadahan (CaCO3),151.64
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Krom Heksavalen,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Krom Heksavalen, * 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Mangan (Mn),0.1
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Nitrat,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Nitrit,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Nitrat,0.26
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Nitrit,0.014
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",pH,7.5
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Seng (Zn), <0.01 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Sulfat,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Timah Hitam (Pb),
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Sulfat,62.81
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Timah Hitam (Pb), * 
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Deterjen,0.07
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Organik (KMnO4),18.15
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Suhu,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’10,9” ","  106o55’51,3”",Total Coliform,
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’58,4” ","  106o57’16,2”",Suhu,24.9
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’58,4” ","  106o57’16,2”",Total Coliform,30
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’58,4” ","  106o57’16,2”",E.Coli,400
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’58,4” ","  106o57’16,2”",Indeks Pencemaran,10
Cakung, Cakung Barat Masjid Jami Al-Falah  ,"06o12’58,4” ","  106o57’16,2”",Kategori, Tercemar Berat 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Zat Padat Terlarut,460
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Kekeruhan,1.85
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Air Raksa, <0.0003 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Zat Padat Terlarut,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Kekeruhan,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Air Raksa,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Besi (Fe), <0.08 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Fluorida,0.23
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Cadmium,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Cadmium, * 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Kesadahan (CaCO3),83.93
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Krom Heksavalen,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Krom Heksavalen, * 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Mangan (Mn),0.1
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o12’58,4” ","  106o57’16,2”",Nitrat,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Nitrit,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Nitrat,0.37
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Nitrit,0.003
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",pH,8.1
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Seng (Zn), <0.01 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Sulfat,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Timah Hitam (Pb),
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Sulfat,73.56
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Timah Hitam (Pb), * 
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Deterjen,0.15
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Organik (KMnO4),2.47
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Suhu,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Total Coliform,
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Suhu,24.9
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Total Coliform,1.7
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",E.Coli,100
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Indeks Pencemaran,6
Cakung, Kel. Rawaterate (kantor balai pendidikan dan pelatihan KUKM)/AT ,"06o11’08,4” ","  106o55’21,4”",Kategori,Tercemar Sedang 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’08,4” ","  106o55’21,4”",Zat Padat Terlarut,172
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’08,4” ","  106o55’21,4”",Kekeruhan,0.71
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Air Raksa, <0.0003 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Zat Padat Terlarut,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Kekeruhan,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Air Raksa,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Besi (Fe), <0.08 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Fluorida,0.25
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Cadmium,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Cadmium, * 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Kesadahan (CaCO3),109.52
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Krom Heksavalen,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Krom Heksavalen, * 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Mangan (Mn), <0.05 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Nitrat,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Nitrit,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Nitrat,1.6
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Nitrit, <0.003 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",pH,8.1
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Seng (Zn),0.01
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Sulfat,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’11,4” ","  106o57’46,4”",Timah Hitam (Pb),
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Sulfat,25.35
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Timah Hitam (Pb), * 
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Deterjen,0.07
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Organik (KMnO4),2.93
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Suhu,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Total Coliform,
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Suhu,24.3
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Total Coliform,200
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",E.Coli, -   
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Indeks Pencemaran,2
Cakung, Mas Rukin Hanjani Kel Jatinegara ,"06o11’01,4”","106o52’03,3”",Kategori,Tercemar Ringan
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Zat Padat Terlarut,292
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Kekeruhan,0.67
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Air Raksa, <0.0003 
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Zat Padat Terlarut,
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Kekeruhan,
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Air Raksa,
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Besi (Fe), <0.08 
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Fluorida,0.08
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o11’01,4”","106o52’03,3”",Cadmium,
Cakung, SMPN 90 Kelurahan Jatinegara ,"06o10’00,8”","106o52’15,7”",Cadmium, * 
